"subject","predicate","object"
"event/First_Crew_Module_for_Gaganyaan_test_flight_takes_shape","conducted_by","org/ISRO"
"event/First_Crew_Module_for_Gaganyaan_test_flight_takes_shape","has_date","date/October_06,_2023"
"event/First_Crew_Module_for_Gaganyaan_test_flight_takes_shape","has_document","document/First_Crew_Module_Gaganyaan_test_flight_TV_D1"
"event/Satellite_image-based_studies_of_South_Lhonak_Lake","has_description","October 4, 2023 NRSC/ISRO has conducted a satellite-based study on the Outburst of the South Lhonak Lake, Sikkim by obtaining temporal satellite images (before & after) over the Lake. It is observed that Lake is Burst and about 105 Hectares area has been drained out (28 September 2023 image versus 04 October 2023) which might have created a flash flood downstream. ISRO will continue monitoring the lake further using the satellite data."
"event/Satellite_image-based_studies_of_South_Lhonak_Lake","conducted_by","org/ISRO"
"event/Satellite_image-based_studies_of_South_Lhonak_Lake","has_date","date/October_4,_2023"
"event/Satellite_image-based_studies_of_South_Lhonak_Lake","has_document","document/Satellite_studies_South_Lhonak_Lake"
"event/CE20_E13_Engine_Hot_Test_for_the_Gaganyaan_&_22t_Thrust_Qualification","has_description","September 25, 2023 ISRO successfully completed the CE20 E13 engine hot test for the Gaganyaan qualification and 22-tonne thrust qualification.  The engine developed by the Liquid Propulsion Systems Centre (LPSC), Valiamala was tested at ISRO Propulsion Complex (IPRC), Mahendragiri on September 22, 2023. The CE20 engine is a vital component, serving as the powerhouse of the Cryogenic Upper Stage (CUS) responsible for propelling the upper stage (C25) of the LVM3 vehicle.  It has demonstrated its capability by successfully operating at a thrust level of 19 tonnes in six successive LVM3 missions, including the Chandrayaan-2, Chandrayaan-3, and two commercial OneWeb missions. To enhance the payload capacity of the LVM3 vehicle, ISRO is upgrading the CE20 engine. The upper cryogenic stage is being transformed into the C32 stage with increased propellant loading capacity, and the engine is being modified to operate at a higher thrust level of 22 tonnes. To ensure the engine's readiness for critical missions, a series of ground hot tests were deemed necessary. The CE20 engine hardware referred to as E13 was selected for both Gaganyaan qualification and 22-tonne thrust level operations. The journey to achieving a 22-tonne thrust capability began with E13 HT-01, a test focused on engine tuning, successfully conducted for a 50-second duration. This initial test set the stage for the upcoming trials. E13 HT-02 marked a significant milestone, conducted on August 30, 2023, with the engine operating flawlessly for an impressive 720 seconds. This test demonstrated the engine's reliability and stability. The third hot test, E13 HT-03, was the pivotal moment in completing the CE20 engine qualification for the Gaganyaan program. On September 22, 2023, this test was conducted at the state-of-the-art test facility located at IPRC, Mahendragiri. During this test, the CE20 engine operated at the coveted 22-tonne thrust level for a duration of 670 seconds. Both the engine and the testing facility performed flawlessly, meeting all the performance parameters. The successful completion of E13 HT-03 signifies the culmination of rigorous testing and the readiness of the CE20 engine for the Gaganyaan program. With all the necessary tests completed, the CE20 engine is now poised for the demanding requirements of the Gaganyaan mission and future endeavours. Description: CE20 E13 Engine Hot Test for the Gaganyaan & 22t Thrust QualificationFormat : webmFile Size : 25.3 MBDuration : 00:01:24Plugin : NA"
"event/CE20_E13_Engine_Hot_Test_for_the_Gaganyaan_&_22t_Thrust_Qualification","conducted_by","org/ISRO"
"event/CE20_E13_Engine_Hot_Test_for_the_Gaganyaan_&_22t_Thrust_Qualification","has_date","date/September_25,_2023"
"event/CE20_E13_Engine_Hot_Test_for_the_Gaganyaan_&_22t_Thrust_Qualification","has_document","document/CE20E13EngineHotTest"
"event/An_assessment_of_space_situation_around_Sun-Earth_Lagrange_Point_L1","has_description","ISRO's Aditya-L1 mission, launched on September 2, 2023, is India's first mission dedicated to studying the Sun, specifically the photosphere, chromosphere, and corona of Sun. The spacecraft has commenced its journey to its final destination, the Sun-Earth Lagrange’s Point 1 (L1), on September 18, 2023. Lagrange points, also known as libration points, are unique locations in space where the gravitational force of two massive bodies (like Sun and Earth) precisely equals the centripetal force required for a small object (like spacecraft) to move with them. This makes Lagrange points an excellent location for spacecrafts as orbit corrections and hence fuel requirements, needed to maintain the desired orbit, are kept at a minimum. For any combination of two orbital bodies (like Sun-Earth and Earth-Moon systems), there are five Lagrange points (L1 to L5), all in the orbital plane of the two large bodies (figure-1). The three points - L1, L2, and L3 are dynamically unstable and lie on the line through the centres of the two large bodies, while the remaining two points - L4 and L5 are stable points and each acts as the third vertex of an equilateral triangle formed with the centres of the two large bodies. L1 is particularly significant because it is situated between the two primaries (the Sun and Earth), making it an ideal location for spacecrafts because they allow continuous observation of primary bodies, continuous communication with earth and an unobstructed view of celestial bodies. These orbits are well-suited for scientific missions like Aditya which will act like a solar observatory around L1 and communication to Earth. Aditya-L1 will operate in a ‘Halo orbit’ around the Sun-Earth L1 point, located approximately 1.5 million kilometers from Earth. Halo orbits are periodic, three-dimensional orbits around a Lagrange Point (L1, L2 or L3) and involve an out-of-plane motion component relative to the primary bodies. The orbit is large enough in size to be continuously viewed from Earth and would appear to form a halo around the Lagrange Points (here L1 for Aditya L1). Various past missions have utilized the Sun-Earth L1 point, including the International Sun-Earth Explorer (ISEE-3), the Genesis mission, ESA's LISA Pathfinder, China's Chang'e 5 lunar orbiter, and NASA's Gravity Recovery and Interior Recovery (GRAIL) mission. These missions have contributed to our understanding of space and our ability to monitor space weather events. Several operational spacecrafts are currently stationed at the Sun-Earth L1 point as provided in table-1. These spacecraft at Sun-Earth L1 point provide vital early warnings on adverse space weather events that help protect orbiting space assets and ground based infrastructure. Despite the extremely sparse population in L1 point (figure-2) and the vast separation between them, close approach assessment for an operational spacecraft at Lagrange Point Orbit (LPO) is desirable because of the large positional uncertainty and sensitivity to other perturbative forces. OD (Orbit Determination) for LPO requires tracking data collection over an extended period of time, typically a few days. The typical OD accuracy is of the order of a few km.   For Aditya L1 mission, ISRO plans to carry out such analysis periodically to ensure safety and avoid any possibility of close approaches with other neighbouring spacecrafts, with the support from NASA-JPL."
"event/An_assessment_of_space_situation_around_Sun-Earth_Lagrange_Point_L1","conducted_by","org/ISRO"
"event/An_assessment_of_space_situation_around_Sun-Earth_Lagrange_Point_L1","has_date","date/September_18,_2023"
"event/An_assessment_of_space_situation_around_Sun-Earth_Lagrange_Point_L1","has_document","document/Assessment_spacesituation_LagrangePoint_L1"
"event/Ch-2_orbiter_Synthetic_Aperture_Radar_images_Ch-3_lander","has_description","September 8, 2023 Chandrayaan-3 lander is imaged by the Dual-frequency Synthetic Aperture Radar (DFSAR) instrument onboard the Chandrayaan-2 Orbiter on September 6, 2023. A SAR instrument transmits microwaves in a given frequency band and receives the same, scattered from the surface. Being a radar, it can image even without solar illumination. It can provide both the distance and physical characteristics of the target features. Hence, SAR is utilized for remote sensing of the Earth and other celestial bodies. DFSAR is a key scientific instrument onboard Chandrayaan-2 Orbiter. It employs microwaves in L- and S-band bands. This state-of-the-art instrument is offering the best resolution polarimetric images currently on any planetary mission. The long radar wavelength enables DFSAR to explore lunar subsurface features down to a few metres. DFSAR has been beaming high-quality data by imaging the lunar surface, for the last 4 years, with main focus on the lunar polar science."
"event/Ch-2_orbiter_Synthetic_Aperture_Radar_images_Ch-3_lander","has_date","date/September_08,_2023"
"event/Ch-2_orbiter_Synthetic_Aperture_Radar_images_Ch-3_lander","has_document","document/Ch3Lander_imagedby_Ch2SAR"
"event/High_level_Kenyan_delegation_visited_ISRO_HQ","has_description","August 31, 2023 A high-level delegation from Kenya, led by the distinguished Cabinet Secretary, Hon. Adan Bare Duale visited ISRO Headquarters and met Mr. Somanath. S, Chairman of ISRO and Secretary of the Department of Space (DOS) on August 30, 2023. The delegation also included Brig Hillary Kipkoshey, DG of Kenya Space Agency and High Commissioner of Kenya to India. Scientific Secretary of ISRO, Mr. Shantanu Bhatawdekar, presented a comprehensive overview of India‘s space activities, highlighting the achievements, application projects, emerging space ecosystem and international cooperation. This was followed by in-depth discussions on potential opportunities for cooperative and commercial engagements between India and Kenya. Capacity building in Kenya on space technology applications, sharing of earth observation satellite data, and sharing knowledge on establishing space infrastructure in Kenya were discussed as priority areas. Hon. Adan Bare Duale personally congratulated India and ISRO for the marvellous achievement of the soft landing of Chandrayaan 3 lander near Lunar South Pole quoting excitement and celebration at Nairobi on August 23, 2023. In conclusion, both sides agreed to work on concluding a memorandum of understanding for space cooperation with specific activities and timelines."
"event/High_level_Kenyan_delegation_visited_ISRO_HQ","conducted_by","org/ISRO"
"event/High_level_Kenyan_delegation_visited_ISRO_HQ","has_date","date/August_31,_2023"
"event/High_level_Kenyan_delegation_visited_ISRO_HQ","has_document","document/Kenyan_delegation_visited_ISRO"
"event/The_Oman_Minister_visited_ISRO","has_description","August 18, 2023 A delegation from the Sultanate of Oman, headed by H.E. Eng. Said Hamood Said Al Maawali, Honourable Minister of Transport, Communication, and Information Technology (MTCIT), visited ISRO Headquarters for a meeting with Chairman, ISRO/Secretary, DOS, Mr. Somanath.S., on August 17, 2023, to discuss India-Oman space cooperation. The Minister was accompanied by senior officials from the Sultanate of Oman, including Dr Saoud Humaid Salim Al Shoaili, Head-National Space Program. Senior ISRO officials, including Mr Shantanu Bhatawdekar, Scientific Secretary, ISRO, and Dr. Prakash Chauhan, Director of ISRO's National Remote Sensing Centre (NRSC), also participated in the meeting. A Web-based GIS Portal, developed by ISRO and incorporating satellite data, geospatial layers, and value-added services pertaining exclusively to the Sultanate of Oman, was launched by the Minister during this meeting. The salient features of the portal, including the application potential in various domains (agriculture, fisheries, water conservation, urban planning, climate and oceans, disaster management, and governance), were presented to the Minister. Specific cooperation proposals, including the building and launching of satellites for the Sultanate of Oman, ground station establishment, and a sounding rocket launch in Oman, were also discussed. The Minister and his delegation also visited ISRO's technical facilities at the UR Rao Satellite Centre (ISRO Satellite Integration and Testing Establishment, ISITE) and the ISRO Telemetry Tracking and Command Network (ISTRAC). As part of this visit, the minister also interacted with Indian space industries and start-ups to explore possible commercial collaboration. This exclusive visit of the Oman Minister to ISRO is expected to strengthen the India-Oman space relations under the Memorandum of Understanding signed in 2018 for cooperation in peaceful uses of outer space."
"event/The_Oman_Minister_visited_ISRO","conducted_by","org/ISRO"
"event/The_Oman_Minister_visited_ISRO","has_date","date/August_18,_2023"
"event/The_Oman_Minister_visited_ISRO","has_document","document/Oman_Minister_visited_ISRO"
"event/Visit_of_the_Mauritius_Minister_to_ISRO_enhanced_the_scope_of_India-Mauritius_space_cooperation","has_description","August 17, 2023 A high-level delegation from Mauritius, led by the Honourable Minister for Information Technology, Communication and Innovation (MITCI), Mr. DarsanandBalgobin, paid a fruitful visit to ISRO on August 17, 2023. Honourable Minister was accompanied by the Chairman of the Board of the Mauritius Research & Innovation Council, Dr.Kaviraj Sharma Sukon.  The delegation had a meeting withShri Somanath S, Chairman, ISRO/Secretary, DOS at the ISRO Telemetry, Tracking and Command Network (ISTRAC) in Bengaluru.Director of U R Rao Satellite Centre Mr. M Sankaran; Scientific Secretary of ISRO Mr. Shantanu Bhatawdekar; Director of National Remote Sensing Centre, Dr. Prakash Chauhan and other senior officials were also part of the discussion. Chairman, ISRO/ Secretary, DOSwhile thanking Mauritius for hosting ISRO’s station for about 3 decades, outlined potential applications of space technology that could benefit Mauritius.The Honourable Minister highlighted the specific requirements and aspirations of Mauritius. ISRO presented technical details and application potentials of the proposed India – Mauritius joint satellite, a microsatellite designed for remote sensing from Low Earth orbit. Plans for providing training to Mauritiusofficials, in three domains, viz., building the satellite, operating the satellite and utilising the received data from this satellite for various applications were also discussed. This meeting has also helped in enhancing the overall scope of India-Mauritius space cooperation through (i) sharing of data pertaining to Mauritius territory, acquired by Indian Remote Sensing satellites; (ii) Developing an ‘India-Mauritius space portal’ with satellite data, geospatial layers and value-added services pertaining to Mauritius; (iii) Initiating discussion for space industry level collaboration between the two nations to unlock new avenues for the utilization of space technology by various stakeholders in Mauritius."
"event/Visit_of_the_Mauritius_Minister_to_ISRO_enhanced_the_scope_of_India-Mauritius_space_cooperation","conducted_by","org/ISRO"
"event/Visit_of_the_Mauritius_Minister_to_ISRO_enhanced_the_scope_of_India-Mauritius_space_cooperation","has_date","date/August_17,_2023"
"event/Visit_of_the_Mauritius_Minister_to_ISRO_enhanced_the_scope_of_India-Mauritius_space_cooperation","has_document","document/visit_Mauritius_Minister_space_cooperation"
"event/Workshop_on_Space_Situational_Awareness_&_Space_Traffic_Management_(SSA_&_STM)","has_description","August 14, 2023 Indian Space Research Organisation, ISRO is organising a Workshop on Space Situational Awareness & Space Traffic Management (SSA & STM) meant for Indian students, researchers, and faculty members during October 12-14, 2023 at the ISRO Headquarters in Bengaluru. SSA is the comprehensive knowledge of the Space environment, including the location, orbit, and function of all man-made objects in Space, as well as natural objects / phenomena such as Space weather, asteroids and comets. It is essential for preventing collisions between objects in Space and mitigating the effects of Space debris to support safe, stable and sustainable outer Space activities. STM is the process of ensuring the safe and efficient operation of all Space objects. STM includes the collection and analysis of SSA data, the development of collision avoidance procedures, and the implementation of those procedures. STM is also responsible for the safe disposal of Space debris. SSA and STM are crucial aspects for undertaking Space-related activities by any responsible agency/company/start-up/university, etc. They involve human expertise and dedicated observational facilities such as radars, telescopes, and Space-based platforms for precise orbital information of Space objects and guidelines, both at national and international levels. ISRO has established “ISRO System for Safe and Sustainable Space Operations Management (IS4OM)” to provide services for safeguarding Indian Space assets. While encouraging the involvement of private players in the Space sector, ISRO recognises the importance of generating expertise in these domains that in turn not only creates career opportunities but also ensures making Space a safer, more stable, and sustainable environment for future endeavours and hence this workshop is organised. The workshop will have expert technical talks from eminent ISRO scientists and interactive sessions with top-level scientists and engineers from various ISRO Centres. B.E/B.Tech./M.E/M.Tech/M.Sc./PhD students/research scholars pursuing their courses in any areas related to Space-science, Mathematics, Physical Sciences, Engineering & Technology from affiliated Indian institutes/universities and the faculty members of Indian academic institutes are invited to register & apply. The selection is based on academic performance and/or online quiz. Registration closes on Aug 30, 2023. The results will be announced on September 12, 2023. Participants have to make their own arrangements for travel and stay. Details and registration link:here"
"event/Workshop_on_Space_Situational_Awareness_&_Space_Traffic_Management_(SSA_&_STM)","conducted_by","org/ISRO"
"event/Workshop_on_Space_Situational_Awareness_&_Space_Traffic_Management_(SSA_&_STM)","has_date","date/August_14,_2023"
"event/Workshop_on_Space_Situational_Awareness_&_Space_Traffic_Management_(SSA_&_STM)","has_document","document/Space_Situational_Awareness"
"event/ISRO_Conducts_Drogue_Parachute_Deployment_Tests_for_Gaganyaan_Mission","has_description","August 11, 2023 Vikram Sarabhai Space Centre (VSSC)/ISRO, successfully conducted a series of Drogue Parachute Deployment Tests at the Rail Track Rocket Sled (RTRS) facility of the Terminal Ballistics Research Laboratory, Chandigarh, during August 8-10, 2023. The tests were conducted in collaboration with Aerial Delivery Research and Development Establishment (ADRDE)/DRDO. The Gaganyaan mission entails the safe transportation of astronauts to space and back. A crucial component of this mission is the deployment of drogue parachutes, which play a pivotal role in stabilizing the crew module and reducing its velocity to a safe level during re-entry. Drogue parachutes, packed within pyro-based devices known as mortars, are ingeniously designed to eject the parachutes into the air upon command. These conical ribbon-type parachutes, boasting a diameter of 5.8 meters, employ a single-stage reefing mechanism, ingeniously minimizing canopy area and mitigating opening shock, ensuring a smooth and controlled descent. During the three comprehensive tests conducted at the RTRS facility, a range of real-world scenarios were simulated to rigorously evaluate the performance and reliability of the drogue parachutes. The first test simulated the maximum reefed load, marking a groundbreaking introduction of reefing in a mortar-deployed parachute within India. The second test emulated the maximum disreefed load, while the third test showcased the deployment of the drogue parachute under conditions mirroring the maximum angle of attack experienced by the Crew Module during its mission. These successful RTRS tests serve as a critical qualification milestone for the drogue parachutes, confirming their readiness for integration into the upcoming Test Vehicle-D1 mission. Notably, earlier this year, the RTRS tests of Pilot and Apex cover separation parachutes were also conducted, further accentuating the progress of the Gaganyaan mission's parachute system development. The intricate parachute sequence for the Gaganyaan crew module's deceleration system encompasses a total of 10 parachutes. The sequence commences with the deployment of two Apex cover separation parachutes, followed by the stabilization achieved through the deployment of two drogue parachutes. Upon release of the drogue parachutes, the mission transitions into the extraction phase, with three Pilot chutes individually extracting three main parachutes, a pivotal step in reducing the Crew Module's speed to safe levels for a secure landing."
"event/ISRO_Conducts_Drogue_Parachute_Deployment_Tests_for_Gaganyaan_Mission","conducted_by","org/ISRO"
"event/ISRO_Conducts_Drogue_Parachute_Deployment_Tests_for_Gaganyaan_Mission","has_date","date/August_11,_2023"
"event/ISRO_Conducts_Drogue_Parachute_Deployment_Tests_for_Gaganyaan_Mission","has_document","document/Drogue_Parachute_Test"
"event/Current_Space_Situation_around_the_Moon_–_An_assessment","has_description","Current Space Situation around the Moon – An assessmentHome/Current Space Situation around the Moon – An assessment Aug 08, 2023 Introduction Exploration of space beyond the near-Earth regime has been one of the most challenging and fascinating ventures of humankind and continues to capture the imagination of generations. Over the ages, several space-faring nations have undertaken numerous missions to explore most of the planets in the solar system, their natural moons, various minor planets/ asteroids, comets and even interplanetary voyages. The Moon and Mars are the most explored and also comparatively more crowded planetary bodies at present. India’s Chandryaan-3 (CH3) is the latest entry into the lunar orbit. More intensified activities around the Moon are foreseen in the next few years due to the renewed interest in lunar exploration, heralded by Artemis missions for return to the Moon and preparations for colonisation of Mars. While the previous missions were essentially aimed at scientific explorations, upcoming ventures will likely involve multiple actors of diverse interests, including those primarily driven by resource utilisation for commercial purposes. A better understanding of theenvironment is needed to formulate reasonable mitigation practices to avoid close-approach threats in planetary orbits. The current Space Debris Mitigation Guidelines by the UN and Inter-Agency Space Debris Coordination Committee (IADC) are applicable to spacecraft and orbital stages “that will be injected into Earth orbit.Currently space debris pose a major threat to the long-term sustainability of outer space activities in the ever-increasingly congested Earth orbits. Therefore, based on the lessons learnt while operating in the near-Earth regime, it is interesting and desirable to undertake studies related to close approaches in view of the increasing number of objects in the lunar orbits. Tracking of deep space objects Observation and tracking of deep space objects are inherently more complex compared to that in the near-Earth regime, mainly due to the vast distance involved between the object and the observer which introduces considerable latency, signal attenuation and associated complexities. Functional assets like spacecraft/landers/rovers are tracked by active and passive means. Typical active techniques involve range and Doppler measurement, very long baseline interferometry (VLBI)/Delta Differential One-way Ranging (DOR), and laser ranging with retro-reflectors. Optical transponders have also been demonstrated for missions like the Messenger, Mars Global Surveyor, and Hyabusa-2 which can give better accuracy. Lunar orbits Orbital evolution in lunar orbit is primarily influenced by lunar gravity, gravity of the Sun and the Earth, and the Sun Radiation Pressure. For orbits lower than 500 km, non-uniformity of lunar gravity due to mass concentrations dominates, which along with the third body perturbations due to the Earth and the Sun causes the orbit eccentricity (without any change in the semi-major axis) to increase. As a result, the perilune altitude is gradually lowered leading to eventual impact with the lunar surface. For example, the expected orbital lifetime of a spacecraft at a 100 km circular orbit is about 160 days. The major types of lunar orbitsinclude Halo orbit around Langrange’s point, Nearly Rectilinear Halo Orbit (NRHO), Low Lunar Orbit (LLO), and Distant Retrograde Orbit (DRO). NRHO orbits offer the advantages of being stable and requiring less orbit maintenance, maintaining continuous communication with Earth and other lunar orbiting crafts, eclipse avoidance etc. and are highly suitable to host lunar gateways. Several forthcoming missions may also be placed in similar orbits, but given the vast spatial extent of such orbits (far larger than the GEO belt), no congestion is anticipated in the foreseeable future. Majorityof the currentlyorbiting lunar probes operate in LLO. The current situation around the moon As of July 2023, there are 6 active lunar orbiters (see Fig-1). Two of the five probes of NASA’s THEMIS mission have been re-purposed under ARTEMIS (Acceleration, Reconnection, Turbulence and Electrodynamics of the Moon's Interaction with the Sun) as ARTEMIS P1 and ARTEMIS P2, both operate in eccentric orbits of low inclination. NASA’s Lunar Reconnaissance Orbiter (LRO) orbits the Moon in a nearly polar, slightly elliptical orbit. Chandrayaan-2, the second lunar mission of ISRO and Korea Pathfinder Lunar Orbiter (KPLO) also operate in polar orbits of 100 km altitude. NASA’s Capstone operates in a 9:2 resonant southern L2 NRHO, its perilune passes over the lunar North pole at 1500-1600 km altitude, while the apolune is over the South pole at  a distance of nearly 70,000 km. The Japanese spacecraft Ouna which was placed in lunar orbit as part of Kaguya/SELENE mission in 2009 and Chandrayaan-1 launched in 2008 are the two defunct spacecraft. All the other orbiters have been either moved out of the moon-bound orbital regime or have landed/impacted the lunar surface, either deliberately or due to failure to land softly. For example, Chang’e 4 mission’s data relay satellite Queqiao, launched by China in May 2018, was later moved to a halo orbit near the Earth-Moon L2 point. Currently, the only operating rover is China’s Yutu-2 rover released by Chang’e 4, which operates on the far side. From the available media sources, it is expected that Luna-25 of Russia with a Lander and Rover will be in Lunar orbit of 100 km by August 16, 2023 and will be landing on South pole of the moon by August 21-23, 2023. Lunar orbiting spacecraft Table 1: Future Missions to Moon Luna-25 Russia 2023 Lander Commercial Lunar Payload Services (CLPS) USA 2023 Lunar delivery services Lunar Trailblazer USA 2023 Orbiter Beresheet 2 Israel 2024 Orbiter and  lander VIPER (Volatiles Investigating Polar Exploration Rover) USA 2024 Rover Artemis II USA 2025 Lander China's Lunar Exploration Programme (CLEP): Chang’e 6,7,8 China 2024-2027 Lunar robotic research station China’s lunar communication and navigation satellite constellation China 2023 Relay satellites to support lunar surface operations Hakuto-II and III Japan 2024-2025 Orbiter/lander SLIM (Smart Lander for Investigating Moon) Japan 2023 Orbiter/lander LUPEX (Lunar Polar Exploration Mission) India/Japan After 2024 Orbiter, lander, rover Risk of Close Approaches in Lunar Orbits and its Mitigation Even with a handful of orbiting spacecraft, frequent conjunctions are experienced by LRO, KPLO, and CH2O as their orbital regimes in LLO overlap. Sometimes such conjunctions even warrant collision avoidance manoeuvres to be executed to be on the safer side because of the uncertainty associated with orbital estimates. Till July 2023, Chandrayan-2 has performed 3 collision avoidance manoeuvres to mitigate critical close approaches with LRO and KPLO. It is noteworthy that effective coordination is taking place among the agencies to avoid critical conjunctions in the Lunar orbit. For Chandryaan-3 (CH3) mission, the propulsion module is expected to orbit around the moon in a circular LLO of about 150 km altitude for many years to come. Majority of the lunar landers are also likely to temporarily reside in LLO (typically for a few days or weeks) before landing. Under the ambit of ISRO System for Safe and Sustainable Space Operations Management (IS4OM) critical analyses of each of the Lunar Bound Manoeuvres for orbit loweringare being performed to assess potential risks of close approaches with the other lunar orbiters before executing the manoeuvres. Role of India and way forward The space object population has been growing for space beyond the Earth as well as in the lunar environment, where the greater uncertainty associated with the orbital knowledge entailscollision risk assessment to be a necessity for safe operations for a spacecraft orbiting the Moon. India has pro-actively taken up many initiatives in collaboration with International Organisations like Inter Agency Space Debris Coordination Committee (IADC), which include studies related to future evolution of space object environment in cislunar and lunar region to bring out specific guidelines and best practices for space operations to be sustainable in these regions."
"event/Current_Space_Situation_around_the_Moon_–_An_assessment","conducted_by","org/ISRO"
"event/Current_Space_Situation_around_the_Moon_–_An_assessment","has_date","date/August_08,_2023"
"event/Current_Space_Situation_around_the_Moon_–_An_assessment","has_document","document/Current_Space_Situation_around_Moon_Assessment"
"event/Vice-Chair_of_Japan’s_Committee_on_National_Space_Policy_met_Chairman,_ISRO_/_Secretary,_DOS","has_description","August 08, 2023 Dr. Saku Tsuneta, Vice-Chair of Japan’s Cabinet Committee on National Space Policy (CNSP) and Director General, National Astronomical Observatory of Japan (NAOJ) visited ISRO Headquarters on August 08, 2023 and had a meeting with Shri S. Somanath, Chairman, Indian Space Research Organisation (ISRO) / Secretary, Department of Space (DOS). India-Japan space science cooperation at national level, Space Agency level (ISRO & JAXA) and institutes-level were discussed with specific reference to the proposed Joint LUPEX (Lunar Polar Exploration) Mission. Potential cooperation opportunities in: i) Utilisation of data from Adithya L1 and Chandrayaan-3 missions; ii) Development of smaller lander for lunar exploration; and iii) Joint activities under QUAD Space working group were also discussed."
"event/Vice-Chair_of_Japan’s_Committee_on_National_Space_Policy_met_Chairman,_ISRO_/_Secretary,_DOS","conducted_by","org/ISRO"
"event/Vice-Chair_of_Japan’s_Committee_on_National_Space_Policy_met_Chairman,_ISRO_/_Secretary,_DOS","has_date","date/August_08,_2023"
"event/Vice-Chair_of_Japan’s_Committee_on_National_Space_Policy_met_Chairman,_ISRO_/_Secretary,_DOS","has_document","document/ViceChair_of_Japans_Committee"
"event/De-orbiting_PS4_stage_in_PSLV-C56_Mission","has_description","August 05, 2023 PSLV-C56 vehicle successfully injected DS-SAR and 6 other satellites into their intended 536 km circular Low Earth Orbit (LEO) with a 5-degree inclination on July 30, 2023. The vehicle achieved the precise target orbit conditions in 20 minutes after lift-off using the Onboard Navigation, Guidance and Control system and completed its mission. Left alone in a 536 km circular orbit, the PS4 stage would orbit the Earth for over 25 years. As the number of satellites in LEO is growing and the space around this orbit is of particular interest, the orbit of the spent PS4 stage was reduced to 300 km circular. In line with India's commitment to supporting worldwide space debris mitigation efforts, the Onboard Guidance Algorithm was modified to achieve this orbit-change manuevre. The Orbit Change Thrusters (low thrust engines) were fired twice for orbit change. Furthermore, in line with standard launch practices, the PS4 Stage was passivated after the re-orbiting process, as no further active propulsion need was anticipated. This passivation involved venting of all pressurized compartments (Tanks/Gas bottles) to release any stored energy or potential hazardous substances. By mitigating the possibility of pressurized compartment failures, the chance of fragmentation of the spent stage in orbit is minimized, thereby further reducing the creation of space debris."
"event/De-orbiting_PS4_stage_in_PSLV-C56_Mission","has_date","date/August_05,_2023"
"event/De-orbiting_PS4_stage_in_PSLV-C56_Mission","has_document","document/de-orbiting-PS4-PSLVC56"
"event/NISAR_Utilization_Programme_(NISAR_UP)_for_Indian_Researchers","has_description","July 28, 2023 ISRO offers the NISAR Utilization Programme (NISAR UP), an opportunity for Indian researchers and scientists to access, analyse and interpret the data from theNASA–ISRO Synthetic Aperture Radar (NISAR)satellite mission. NISAR offers vital data to observe and study Earth’s intricate processes. This cutting-edge mission involves high-resolution imaging, wide swath, precise orbit control, and short revisit periods. It aims to study ecosystems, cryosphere, solid earth science, and coastal ocean processes to address global environmental changes and natural hazards. It supports disaster response by providing rapid access to relevant data. NISAR UP seeks project proposals from researchers, academicians, and scientists affiliated with Indian Government organizations and Government-recognized institutions, universities, and departments.The programme, offered by the Space Applications Centre (SAC)/ISRO, looks to support 3-year projects, through an open data policy, in diverse application themes, such as agriculture, forestry, hydrology, snow/glaciers, disaster management, and more, using the L & S-band SAR data from NISAR. The focus areas include developing operational algorithms for applications in different fields, retrieval of biogeophysical parameters using NISAR and ancillary data, calibration/validation of NISAR data/science, tool development for NISAR data analysis, and value-added products/services to cater to user requirements. Selected projects will receive funding support, while non-funded projects will have access to technical support and ground validation data provided by ISRO. Mission details, guidelines, and proposal submission formats are athere. Project proposals may be submitted by October 31, 2023. Evaluation results will be communicated by March 01, 2024. The researchers are invited to join the Programme, leveraging NISAR data to make discoveries and create a sustainable future for our planet."
"event/NISAR_Utilization_Programme_(NISAR_UP)_for_Indian_Researchers","conducted_by","org/ISRO"
"event/NISAR_Utilization_Programme_(NISAR_UP)_for_Indian_Researchers","has_date","date/July_28,_2023"
"event/NISAR_Utilization_Programme_(NISAR_UP)_for_Indian_Researchers","has_document","document/NISARUtilizationProgramme"
